iter	Passed	Remaining
0	53	5341
1	54	2667
2	54	1772
3	55	1326
4	55	1059
5	56	880
6	56	752
7	57	655
8	57	581
9	58	522
10	58	472
11	58	431
12	59	396
13	59	366
14	60	340
15	60	317
16	60	297
17	61	279
18	61	262
19	62	248
20	62	234
21	62	222
22	63	211
23	63	201
24	64	192
25	64	183
26	64	175
27	65	167
28	65	160
29	66	154
30	66	147
31	66	142
32	67	136
33	67	131
34	67	126
35	68	121
36	68	116
37	69	112
38	69	108
39	69	104
40	70	100
41	70	97
42	70	94
43	71	90
44	71	87
45	71	84
46	72	81
47	72	78
48	72	75
49	73	73
50	73	70
51	74	68
52	74	66
53	74	63
54	75	61
55	75	59
56	75	57
57	76	55
58	76	53
59	77	51
60	77	49
61	77	47
62	78	45
63	78	44
64	78	42
65	79	40
66	79	39
67	79	37
68	80	36
69	80	34
70	81	33
71	81	31
72	81	30
73	82	28
74	82	27
75	82	26
76	83	24
77	83	23
78	83	22
79	84	21
80	84	19
81	85	18
82	85	17
83	85	16
84	86	15
85	86	14
86	87	13
87	87	11
88	87	10
89	88	9
90	88	8
91	88	7
92	89	6
93	89	5
94	89	4
95	90	3
96	90	2
97	91	1
98	91	0
99	91	0
