iter	Passed	Remaining
0	1	1500
1	1	995
2	2	799
3	2	710
4	3	654
5	3	617
6	4	592
7	4	580
8	5	566
9	5	571
10	6	574
11	6	564
12	7	553
13	7	546
14	8	546
15	8	540
16	9	535
17	9	533
18	10	528
19	10	522
20	11	516
21	11	513
22	11	509
23	12	506
24	12	502
25	13	498
26	13	491
27	14	487
28	14	485
29	15	485
30	15	485
31	15	482
32	16	481
33	16	479
34	17	476
35	17	473
36	18	473
37	18	472
38	19	470
39	19	468
40	19	465
41	20	464
42	21	467
43	21	465
44	21	464
45	22	462
46	22	463
47	23	461
48	23	460
49	24	458
50	24	457
51	25	456
52	25	454
53	25	453
54	26	453
55	26	452
56	27	450
57	27	451
58	28	449
59	28	448
60	29	447
61	29	447
62	30	447
63	30	447
64	31	446
65	31	445
66	31	444
67	32	443
68	32	442
69	33	441
70	33	439
71	34	440
72	34	439
73	35	438
74	35	437
75	35	437
76	36	436
77	36	436
78	37	435
79	37	435
80	38	434
81	38	433
82	39	432
83	39	430
84	39	430
85	40	429
86	40	428
87	41	427
88	41	427
89	42	426
90	42	425
91	43	424
92	43	424
93	43	423
94	44	422
95	44	422
96	45	421
97	45	420
98	46	419
99	46	419
100	46	417
101	47	416
102	47	415
103	48	414
104	48	414
105	49	413
106	49	414
107	50	413
108	50	412
109	50	412
110	51	411
111	51	410
112	52	412
113	52	411
114	53	410
115	53	409
116	54	409
117	54	408
118	55	407
119	55	407
120	56	406
121	56	406
122	56	405
123	57	405
124	57	404
125	58	403
126	58	403
127	59	407
128	60	407
129	60	407
130	61	406
131	61	406
132	62	405
133	62	405
134	63	404
135	63	404
136	64	403
137	64	403
138	64	402
139	65	402
140	65	401
141	66	400
142	66	401
143	67	402
144	68	403
145	68	402
146	69	401
147	69	400
148	70	400
149	70	400
150	71	399
151	71	398
152	71	398
153	72	397
154	72	395
155	73	395
156	73	394
157	74	394
158	74	394
159	74	393
160	75	393
161	75	392
162	76	392
163	76	391
164	77	390
165	77	390
166	78	389
167	78	387
168	78	386
169	79	386
170	79	385
171	80	385
172	80	384
173	80	384
174	81	383
175	81	382
176	82	382
177	82	381
178	83	382
179	84	383
180	84	382
181	84	381
182	85	381
183	85	381
184	86	380
185	86	380
186	87	380
187	88	380
188	88	379
189	88	379
190	89	379
191	89	378
192	90	377
193	90	376
194	91	376
195	91	376
196	92	375
197	92	375
198	93	374
199	93	373
200	93	373
201	94	372
202	94	371
203	95	371
204	95	370
205	96	370
206	96	369
207	96	368
208	97	368
209	97	368
210	98	368
211	99	368
212	99	368
213	100	367
214	100	366
215	101	366
216	101	366
217	101	365
218	102	365
219	102	364
220	103	363
221	103	363
222	104	363
223	104	362
224	105	362
225	105	362
226	106	362
227	106	361
228	107	361
229	107	361
230	108	360
231	108	360
232	109	360
233	109	359
234	110	358
235	110	358
236	111	358
237	111	357
238	112	356
239	112	356
240	113	356
241	113	355
242	114	355
243	114	355
244	115	354
245	115	354
246	115	353
247	116	352
248	116	352
249	117	351
250	117	351
251	118	350
252	118	350
253	119	350
254	119	349
255	120	349
256	120	348
257	121	348
258	121	347
259	121	347
260	122	346
261	122	346
262	123	345
263	123	345
264	124	344
265	124	343
266	125	343
267	125	342
268	125	342
269	126	341
270	126	341
271	127	340
272	127	340
273	128	340
274	128	339
275	129	339
276	129	339
277	130	338
278	130	337
279	131	337
280	131	336
281	132	336
282	132	335
283	133	335
284	133	334
285	133	334
286	134	333
287	134	333
288	135	332
289	135	332
290	136	331
291	136	331
292	137	330
293	137	330
294	138	329
295	138	329
296	139	329
297	139	328
298	139	328
299	140	327
300	140	326
301	141	326
302	141	326
303	142	325
304	142	325
305	143	324
306	143	323
307	143	323
308	144	323
309	145	322
310	145	322
311	146	322
312	146	321
313	147	321
314	147	320
315	147	320
316	148	319
317	148	319
318	149	318
319	149	318
320	150	317
321	150	316
322	150	316
323	151	315
324	151	315
325	152	314
326	152	314
327	153	314
328	153	313
329	154	313
330	154	312
331	155	312
332	155	311
333	155	311
334	156	310
335	156	309
336	157	309
337	157	308
338	158	308
339	158	307
340	159	307
341	159	307
342	160	306
343	160	306
344	161	305
345	161	305
346	162	304
347	162	304
348	163	304
349	163	303
350	163	303
351	164	302
352	164	302
353	165	301
354	165	301
355	166	300
356	166	300
357	167	299
358	167	299
359	167	298
360	168	298
361	168	297
362	169	297
363	169	296
364	170	295
365	170	295
366	170	294
367	171	294
368	171	294
369	172	293
370	172	293
371	173	292
372	173	292
373	174	291
374	174	291
375	175	290
376	175	290
377	176	290
378	176	289
379	177	289
380	178	289
381	179	289
382	179	289
